Interessado;UF;Tipo de interessado;Tipo de operação;Finalidade;Tipo de credor;Credor;Moeda;Valor;Número do Processo/PVL;Código IBGE;Status;Data;Analisado por
Abre Campo         ;MG;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;800.000;17944.000054/2016-93;3100302;Arquivado;10/10/2016;STN
Abre Campo         ;MG;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.800.000;PVL02.002229/2017-15;3100302;Deferido ;29/11/2017;Ins
Abre Campo         ;MG;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;200.000;PVL02.002230/2017-40;3100302;Deferido ;29/11/2017;Ins
Abreu e Lima       ;PE;Município;Operação Contratual Interna;PNAFM                                         ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;4.626.608;17944.000222/2012-17;2600054;Arquivado;16/01/2013;STN
Abreu e Lima       ;PE;Município;Operação Contratual Interna;Provias 2012                                  ;Instituição Financeira Nacional;Banco do Nordeste do Brasil S/A             ;Real;3.000.000;17944.000866/2013-96;2600054;Arquivado;04/08/2015;STN
Acaiaca            ;MG;Município;Operação Contratual Interna;Saneamento básico                             ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;280.000;17944.000250/2012-34;3100401;Arquivado;25/10/2012;STN
Acaiaca            ;MG;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;600.000;17944.000251/2012-89;3100401;Arquivado;25/10/2012;STN
Acaiaca            ;MG;Município;Operação Contratual Interna;Provias                                       ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;714.000;17944.000789/2011-11;3100401;Deferido ;16/01/2012;STN
Acaiaca            ;MG;Município;Operação Contratual Interna;Caminho da Escola                             ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;314.150;17944.000805/2011-67;3100401;Deferido ;15/08/2011;STN
Acaiaca            ;MG;Município;Operação Contratual Interna;Assunção de Dívida                            ;União                          ;União                                       ;Real;89.116,1;PVL02.002081/2017-19;3100401;Devolvido;18/12/2017;STN
Acaiaca            ;MG;Município;Operação Contratual Interna;Caminho da Escola                             ;Outras                         ;Pessoa Jurídica                             ;Real;68.007,6;PVL02.002084/2017-52;3100401;Devolvido;18/12/2017;STN
Acaiaca            ;MG;Município;Operação Contratual Interna;Assunção de Dívida                            ;Outras                         ;Pessoa Jurídica                             ;Real;23.507,6;17944.103234/2017-15;3100401;Em retifi;21/12/2017;STN
Acaiaca            ;MG;Município;Operação Contratual Interna;Assunção de Dívida                            ;Outras                         ;Pessoa Jurídica                             ;Real;41.354,7;17944.103238/2017-95;3100401;Em retifi;21/12/2017;STN
Acaiaca            ;MG;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000;17944.103239/2017-30;3100401;Em retifi;21/12/2017;STN
Açailândia         ;MA;Município;Operação Contratual Interna;Caminho da Escola                             ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;555.765;17944.000342/2008-38;2100055;Arquivado;03/04/2008;STN
Açailândia         ;MA;Município;Operação Contratual Interna;Provias                                       ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;1.650.000;17944.000969/2007-16;2100055;Arquivado;05/10/2007;STN
Açailândia         ;MA;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualif;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;19.790.113,3;17944.001229/2011-75;2100055;Deferido ;25/11/2011;STN
Açailândia         ;MA;Município;Operação Contratual Interna;Caminho da Escola 2010                        ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;5.300.400;17944.001847/2011-15;2100055;Arquivado;06/02/2013;STN
Acaraú             ;CE;Município;Operação Contratual Interna;PNAFM                                         ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;1.908.000;17944.000388/2008-57;2300200;Arquivado;10/09/2008;STN
Acari              ;RN;Município;Operação Contratual Interna;Caminho da Escola                             ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;366.840;17944.000855/2012-25;2400109;Deferido ;28/06/2012;STN
Acari              ;RN;Município;Operação Contratual Interna;Caminho da Escola 2                           ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;300.000;17944.000860/2008-51;2400109;Arquivado;29/08/2008;STN
Aceguá             ;RS;Município;Operação Contratual Interna;Caminho da Escola 2                           ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;456.000;17944.000506/2008-27;4300034;Arquivado;31/03/2009;STN
Aceguá             ;RS;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul        ;Real;300.000;19406.000018/2002-47;4300034;Deferido ;15/05/2002;STN
Aceguá             ;RS;Município;Operação Contratual Interna;Provias                                       ;Instituição Financeira Nacional;Banco do Estado do Rio Grande do Sul        ;Real;260.000;19406.000724/2006-12;4300034;Deferido ;22/12/2006;STN
Acopiara           ;CE;Município;Operação Contratual Interna;Caminho da Escola 2009 A                      ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;923.000;00000.000000/0022-77;2300309;Devolvido;22/09/2009;STN
Acopiara           ;CE;Município;Operação Contratual Interna;Caminho da Escola 2010                        ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;881.720;17944.000747/2012-52;2300309;Deferido ;18/06/2012;STN
Acopiara           ;CE;Município;Operação Contratual Interna;Provias 2009                                  ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;1.100.000;17944.000893/2009-82;2300309;Deferido ;21/05/2012;STN
Acopiara           ;CE;Município;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualif;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;1.622.765,2;17944.001029/2011-12;2300309;Deferido ;13/10/2011;STN
Acopiara           ;CE;Município;Operação Contratual Interna;PMAT                                          ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;847.180;17944.001712/2006-92;2300309;Deferido ;05/03/2007;STN
Acopiara           ;CE;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;1.195.000;PVL02.000783/2018-49;2300309;Deferido ;27/04/2018;Ins
Acre               ;AC;Estado   ;Operação Contratual Interna;Desenvolvimento sustentável                   ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;39.980.000;17944.000164/2002-50;12;Deferido ;30/05/2002;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Contrapartida                           ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;64.800.000;17944.000219/2013-84;12;Deferido ;27/05/2013;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Contrapartida                           ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;900.000;17944.000221/2013-53;12;Deferido ;27/05/2013;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Contrapartida                           ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;1.019.086,7;17944.000222/2013-06;12;Deferido ;27/05/2013;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Contrapartida                           ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;1.687.756,5;17944.000225/2013-31;12;Deferido ;27/05/2013;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Contrapartida                           ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;2.549.253,4;17944.000226/2013-86;12;Deferido ;27/05/2013;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Contrapartida                           ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;1.500.000;17944.000227/2013-21;12;Deferido ;27/05/2013;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Contrapartida                           ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;7.463.466,1;17944.000228/2013-75;12;Deferido ;27/05/2013;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Pró-Moradia - 2008                      ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;17.180.000;17944.000247/2009-15;12;Deferido ;15/05/2009;STN
Acre               ;AC;Estado   ;Operação Contratual Externa;Desenvolvimento sustentável                   ;Instituição Financeira Internac;Banco Interamericano de Desenvolvimento     ;Dóla;156.805.840;17944.000253/2002-04;12;Encaminha;05/06/2002;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Saneamento - 2008                       ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;60.759.000;17944.000420/2008-02;12;Deferido ;28/03/2008;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Saneamento - 2008                       ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;9.000.000;17944.000452/2008-08;12;Deferido ;28/03/2008;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PMAE                                          ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;7.000.000;17944.000453/2008-44;12;Deferido ;28/03/2008;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Desenvolvimento sustentável                   ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;440.506.805;17944.000454/2008-99;12;Deferido ;28/03/2008;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Saneamento básico                             ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;22.191.848,7;17944.000513/2004-03;12;Deferido ;02/06/2004;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Saneamento básico                             ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;240.662.000;17944.000610/2013-89;12;Encaminha;28/07/2014;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;136.886.666;17944.000687/2005-49;12;Deferido ;03/06/2005;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;850.000;17944.000688/2005-93;12;Deferido ;03/06/2005;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualif;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;34.150.000;17944.000841/2013-92;12;Deferido ;07/04/2014;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualif;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;55.119.000;17944.000842/2013-37;12;Deferido ;07/04/2014;STN
Acre               ;AC;Estado   ;Operação Contratual Externa;Saneamento básico                             ;Instituição Financeira Internac;Banco Internacional para Reconstrução e Dese;Dóla;150.000.000;17944.000944/2014-33;12;Encaminha;29/02/2016;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Pró-Transporte                                ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;35.370.000;17944.000986/2013-93;12;Deferido ;07/04/2014;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Desenvolvimento sustentável                   ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;136.876.500;17944.001040/2009-68;12;Deferido ;22/10/2009;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PEF - Programa Emergencial de Financiamento do;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;136.840.000;17944.001109/2009-53;12;Encaminha;22/10/2009;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC 2 - Pró-Transporte - Pavimentação e Qualif;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;121.991.238,6;17944.001231/2011-44;12;Deferido ;06/10/2011;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC 2 - Pró-Moradia                           ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;9.961.818,2;17944.001232/2011-99;12;Deferido ;06/10/2011;STN
Acre               ;AC;Estado   ;Operação Contratual Externa;Profisco                                      ;Instituição Financeira Internac;Banco Interamericano de Desenvolvimento     ;Dóla;22.500.000;17944.001269/2013-89;12;Arquivado;04/11/2016;STN
Acre               ;AC;Estado   ;Operação Contratual Externa;Desenvolvimento sustentável                   ;Instituição Financeira Internac;Banco Interamericano de Desenvolvimento     ;Dóla;72.000.000;17944.001334/2012-95;12;Encaminha;06/05/2013;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;BNDES Estados                                 ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;641.160.000;17944.001336/2011-01;12;Deferido ;14/02/2012;STN
Acre               ;AC;Estado   ;Operação Contratual Externa;Fortalecimento Institucional                  ;Instituição Financeira Internac;Banco Internacional para Reconstrução e Dese;Dóla;250.000.000;17944.001367/2013-16;12;Encaminha;06/02/2014;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;240.662.000;17944.001402/2012-16;12;Arquivado;17/07/2013;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Proinveste                                    ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;69.389.583,1;17944.001406/2012-02;12;Encaminha;18/12/2012;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Proinveste                                    ;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;383.202.882,7;17944.001407/2012-49;12;Encaminha;18/12/2012;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Pró-Moradia - 2008                      ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;31.220.000;17944.001410/2008-86;12;Deferido ;12/06/2008;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PEF - Programa Emergencial de Financiamento do;Instituição Financeira Nacional;Banco Nacional de Desenvolvimento Econômico ;Real;205.260.000;17944.001578/2009-72;12;Encaminha;15/12/2009;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;PAC - Pró-Moradia - 2009                      ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;11.592.000;17944.001702/2009-08;12;Arquivado;29/12/2010;STN
Acre               ;AC;Estado   ;Operação Contratual Externa;Desenvolvimento sustentável                   ;Instituição Financeira Internac;Banco Internacional para Reconstrução e Dese;Dóla;120.000.000;17944.002025/2008-56;12;Encaminha;18/12/2008;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;55.000.000;17944.001271/2016-09;12;Arquivado;09/06/2017;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Renegociação de dívidas                       ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;100.000.000;17944.001272/2016-45;12;Arquivado;09/06/2017;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;60.000.000;17944.000633/2017-17;12;Deferido ;14/12/2017;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;95.000.000;17944.000634/2017-61;12;Deferido ;29/12/2017;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Renegociação de dívidas                       ;União                          ;União                                       ;Real;311.945.371;17944.103796/2017-51;12;Deferido ;21/05/2018;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;60.000.000;17944.103999/2018-28;12;Deferido ;24/05/2018;STN
Acre               ;AC;Estado   ;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Caixa Econômica Federal                     ;Real;95.000.000;17944.104000/2018-68;12;Deferido ;24/05/2018;STN
Açucena            ;MG;Município;Operação Contratual Interna;Provias 2010                                  ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;650.000;00000.000000/0068-24;3100500;Devolvido;20/05/2011;STN
Açucena            ;MG;Município;Operação Contratual Interna;Caminho da Escola                             ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;448.470;17944.000201/2008-15;3100500;Deferido ;27/02/2008;STN
Açucena            ;MG;Município;Operação Contratual Interna;Regularização de Dívida - Energia Elétrica    ;Empresa Não Estatal            ;Cemig Distribuição S/A                      ;Real;77.948,3;17944.000338/2008-70;3100500;Regulariz;27/02/2008;STN
Açucena            ;MG;Município;Operação Contratual Interna;Provias 2010                                  ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;650.000;17944.000660/2011-02;3100500;Deferido ;29/06/2011;STN
Açucena            ;MG;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Banco de Desenvolvimento de Minas Gerais S/A;Real;1.000.000;17944.000427/2016-26;3100500;Deferido ;18/04/2016;STN
Adamantina         ;SP;Município;Operação Contratual Interna;Provias 2010                                  ;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo   ;Real;1.250.000;00000.000000/0063-73;3500105;Devolvido;08/12/2010;STN
Adamantina         ;SP;Município;Operação Contratual Interna;Provias 2010                                  ;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo   ;Real;1.250.000;00000.000000/0065-46;3500105;Devolvido;01/02/2011;STN
Adamantina         ;SP;Município;Operação Contratual Interna;Caminho da Escola 2                           ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;253.500;17944.001034/2008-20;3500105;Arquivado;12/03/2009;STN
Adamantina         ;SP;Município;Operação Contratual Interna;Provias 2010                                  ;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo   ;Real;1.250.000;17944.001447/2011-18;3500105;Arquivado;16/01/2013;STN
Adamantina         ;SP;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo   ;Real;250.000;PVL02.000599/2018-07;3500105;Deferido ;03/05/2018;Ins
Adamantina         ;SP;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Estado de São Paulo   ;Real;2.000.000;PVL02.001387/2018-39;3500105;Em anális;24/07/2018;Ins
Adrianópolis       ;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A            ;Real;537.000;17944.001861/2013-81;4100202;Arquivado;16/10/2014;STN
Adrianópolis       ;PR;Município;Operação Contratual Interna;Caminho da Escola                             ;Instituição Financeira Nacional;Banco do Brasil S/A                         ;Real;203.072;19406.000083/2008-68;4100202;Arquivado;15/05/2008;STN
Adrianópolis       ;PR;Município;Operação Contratual Interna;Infraestrutura                                ;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A            ;Real;550.000;19406.000301/2008-64;4100202;Deferido ;23/05/2008;STN
Adrianópolis       ;PR;Município;Operação Contratual Interna;Aquisição de máquinas, equipamentos e veículos;Instituição Financeira Nacional;Agência de Fomento do Paraná S/A            ;Real;401.200;19406.000384/2008-91;4100202;Deferido ;28/04/2008;STN
Adrianópolis       ;PR;Município;Operação Contratual Interna;Regularização de Dívida - Energia Elétrica    ;Empresa Estatal                ;Companhia Paranaense de Energia             ;Real;726.508;19406.000385/2008-36;4100202;Regulariz;28/04/2008;STN
